Kappa3,Cross Section,Uncertainty
8.0,0.14795134982502328,3.6309875025918498E-004
0.632,2.1589281939347907E-002,5.2224931476452326E-005
3.263,9.9374441258072259E-003,2.3649131596490954E-005
1.684,9.3683209299196980E-003,2.4030940403515447E-005
-0.947,5.8856243240525054E-002,1.4327198613890685E-004
4.842,3.3201555222546100E-002,7.7224704240884431E-005
7.474,0.12252793745123405,2.9838702812747420E-004
6.421,7.9211299724917819E-002,1.8861932510479552E-004
2.737,7.2267723432850083E-003,1.8280697551312300E-005
1.0,1.6158559345417763E-002,4.0545429530530195E-005
-2.0,9.6327315213049255E-002,2.3625625440089801E-004
0.105,3.1504249338538737E-002,7.6340618463939259E-005
6.947,9.9586313824206116E-002,2.4015149399838465E-004
-0.421,4.3919241676488835E-002,1.0668234907444575E-004
-1.474,7.6348343559748399E-002,1.8664497660656815E-004
1.158,1.4205004088495895E-002,3.7116431414862346E-005
3.789,1.5171996581014185E-002,3.5621494041464514E-005
2.211,7.0387859778252189E-003,1.8332017587860157E-005
5.895,6.1357400391188290E-002,1.4432575455646204E-004
5.368,4.6000732627078697E-002,1.0712500982698551E-004
4.316,2.2927369340561835E-002,5.3332282696297758E-005
