Kappa3,Cross Section,Uncertainty
5.895,0.40252208386520838,5.0766652959898960E-003
5.368,0.30301152169995532,4.2446841732984080E-003
4.316,0.15388154282357897,2.2585183089244799E-003
1.158,0.11105537702597544,1.1246068321999021E-003
3.789,0.10470632194598246,1.5614131010960738E-003
2.211,5.8622984307867547E-002,8.7246776567136521E-004
-2.0,0.66494227283126550,3.8303850123385685E-003
2.737,5.6751089627334501E-002,9.4580379945404197E-004
8.0,0.96045641618033950,5.2196003276467322E-003
0.105,0.22956140790476282,1.7818236523054402E-003
6.947,0.64892829013866449,5.5881075387982510E-003
-1.474,0.53142415820515243,3.3802228280808326E-003
-0.421,0.31372498905463153,2.3148864242890496E-003
0.632,0.16193279542503583,1.3990936527614026E-003
3.263,7.2183236061487910E-002,1.1963365176125037E-003
1.684,7.6326523399692717E-002,9.3583561669695922E-004
1.0,0.12468087317050894,1.1994763945435282E-003
-0.947,0.41426072388975743,2.8636618815304003E-003
6.421,0.51759283825608027,5.4763461503370700E-003
4.842,0.22022938284257704,3.2062759242905661E-003
7.474,0.79644490036922344,5.2794700646948464E-003
