Kappa3,Cross Section,Uncertainty
1.684,7.7270979213123620E-002,9.3761942177544811E-004
3.263,6.9954868978413465E-002,1.1383225806642693E-003
7.474,0.74568683891837018,5.8684611370972911E-003
4.842,0.20604717741792006,2.9418423121034781E-003
6.421,0.48410812933119779,5.9285372569838971E-003
8.0,0.89954772525691706,5.5061301446481152E-003
-0.947,0.40226667672117006,2.9989562655864102E-003
0.632,0.16041085757618589,1.4421403116537160E-003
0.105,0.22535361266014570,1.8406452713389139E-003
6.947,0.60713546127457008,6.0924197531190679E-003
1.0,0.12434824328311875,1.2188169309305091E-003
2.737,5.6520771819483624E-002,9.3388543231281615E-004
-1.474,0.51423003084438024,3.5382965310400316E-003
-0.421,0.30596587286634452,2.3919947468070977E-003
-2.0,0.64155976297899531,4.0134132065037451E-003
2.211,5.9344913383181278E-002,8.6996031936463904E-004
1.158,0.11113999263907627,1.1404549153960291E-003
3.789,0.10016776187484186,1.5070352653065752E-003
4.316,0.14456093366779815,2.0618892975919549E-003
5.368,0.28302422098191882,4.1527637699097881E-003
5.895,0.37592526789082503,5.1541647229822974E-003
