0.d0	-0.2851507610505236d0	  0.d0
2.d0	-0.28514845093134034d0	  0.d0
4.d0	-0.28514155885095416d0	  0.d0
6.d0	-0.2851301996383942d0	  0.d0
8.d0	-0.2851145646676025d0	  0.d0
10.d0	-0.285094921847284d0	  0.d0
12.d0	-0.2850716156097196d0	  0.d0
14.d0	-0.28504506690156023d0	  0.d0
16.d0	-0.28501577318048965d0	  0.d0
18.d0	-0.2849843084225031d0	  0.d0
20.d0	-0.2849513231454141d0	  0.d0
22.d0	-0.2849175444550794d0	  0.d0
24.d0	-0.2848837761216969d0	  0.d0
26.d0	-0.28485089869442287d0	  0.d0
28.d0	-0.2848198696634459d0	  0.d0
30.d0	-0.2847917236795767d0	  0.d0
32.d0	-0.28476757284233734d0	  0.d0
34.d0	-0.28474860706851335d0	  0.d0
36.d0	-0.28473609455412247d0	  0.d0
38.d0	-0.28473138234381884d0	  0.d0
40.d0	-0.28473589702284907d0	  0.d0
42.d0	-0.2847511455478714d0	  0.d0
44.d0	-0.2847787162342095d0	  0.d0
46.d0	-0.28482027991848774d0	  0.d0
48.d0	-0.2848775913171022d0	  0.d0
50.d0	-0.28495249060260947d0	  0.d0
52.d0	-0.285046905221958d0	  0.d0
54.d0	-0.28516285198248453d0	  0.d0
56.d0	-0.2853024394338862d0	  0.d0
58.d0	-0.2854678705769035d0	  0.d0
60.d0	-0.28566144593231546d0	  0.d0
62.d0	-0.28588556700711554d0	  0.d0
64.d0	-0.28614274019839137d0	  0.d0
66.d0	-0.2864355811796675d0	  0.d0
68.d0	-0.2867668198192422d0	  0.d0
70.d0	-0.28713930568556456d0	  0.d0
72.d0	-0.2875560142010024d0	  0.d0
74.d0	-0.2880200535126168d0	  0.d0
76.d0	-0.28853467215693873d0	  0.d0
78.d0	-0.2891032676054254d0	  0.d0
80.d0	-0.28972939578850865d0	  0.d0
82.d0	-0.2904167817091762d0	  0.d0
84.d0	-0.291169331272227d0	  0.d0
86.d0	-0.29199114447307384d0	  0.d0
88.d0	-0.29288653011073795d0	  0.d0
90.d0	-0.2938600222140818d0	  0.d0
92.d0	-0.2949163983990678d0	  0.d0
94.d0	-0.2960607004088122d0	  0.d0
96.d0	-0.2972982571285099d0	  0.d0
98.d0	-0.2986347104152906d0	  0.d0
100.d0	-0.3000760441404213d0	  0.d0
