Kappa3,Cross Section,Uncertainty
-1.474,7.1099601488020775E-002,1.7274009533122263E-004
-0.421,4.1480705132304008E-002,9.9920284417796395E-005
1.0,1.5840634315130352E-002,3.9645295518510864E-005
2.737,6.9112165896938003E-003,1.7855987402476295E-005
6.947,8.7395008296285423E-002,2.0893817544472224E-004
0.105,3.0071986632118995E-002,7.2078392146277944E-005
8.0,0.13016955368319102,3.1864217253208286E-004
-0.947,5.5143505131173810E-002,1.3319630394052667E-004
0.632,2.0904787385972987E-002,5.0140087930390011E-005
3.263,9.0612527593510878E-003,2.1817068162923231E-005
1.684,9.3849325767651672E-003,2.3694144320672008E-005
4.842,2.9047450715346861E-002,6.7024962829645088E-005
7.474,0.10767203877517989,2.6086465222706140E-004
6.421,6.9419378275485000E-002,1.6350379632523902E-004
5.895,5.3705540271322086E-002,1.2483993708312335E-004
4.316,2.0126867583831670E-002,4.6616096255711906E-005
-2.0,8.9285466078721704E-002,2.1730367222223913E-004
5.368,4.0230578374742594E-002,9.2964047456001869E-005
1.158,1.4004933335165351E-002,3.6390358619563633E-005
3.789,1.3460506169215835E-002,3.1452487002208630E-005
2.211,7.0256936612806062E-003,1.8149629561114898E-005
