Kappa3,Cross Section,Uncertainty
0.632,3.4649646504922249E-002,2.7246791686984793E-004
6.421,0.11678332782292596,9.0217008549591719E-004
7.474,0.17888820309190362,9.8684170126314523E-004
4.842,5.0649631912136159E-002,6.7342411557014834E-004
1.684,1.6725547765679333E-002,1.7184219184780369E-004
3.263,1.7206517941544996E-002,2.2068947957281911E-004
2.737,1.3320457739766778E-002,1.7326912061533015E-004
6.947,0.14603022951856801,9.5679454317194532E-004
0.105,4.9114930527147230E-002,3.6386141354817443E-004
3.789,2.4496549295221066E-002,3.0978748782866294E-004
1.158,2.3871422226458591E-002,2.1305803430664974E-004
1.0,2.6725279483707558E-002,2.2945632626784540E-004
-0.947,8.8841790186165503E-002,5.7954090058179905E-004
2.211,1.3258512615152032E-002,1.5650899550909175E-004
-2.0,0.14308816032920882,7.3799824047423668E-004
5.895,9.1160572657197278E-002,8.8719541131983205E-004
8.0,0.21532595929961407,1.0221566423675036E-003
5.368,6.9076464014425895E-002,8.1355944531590757E-004
-0.421,6.7170049225033626E-002,4.7816722294714332E-004
-1.474,0.11418226328749537,6.6527731748530327E-004
4.316,3.5752682814284335E-002,4.6827209950495781E-004
